,conversation_id,elo_rating,comparisons_count,updated_condition,overall_empathy,conversation_number,condition,elo_rank,starter
37,20250326001040143727,1781.0517454005728,60,treatment,8,3,AICoach,38,job loss
38,20250326103148237770,1775.3963149495703,57,control,0,1,AICoach,39,job loss
39,20250326145559999983,1774.8699115862053,58,treatment,9,3,AICoach,40,job loss
40,20250325211958695888,1769.8821851090968,58,control,1,1,Influencer,41,job loss
41,20250326113915173459,1769.7127234509203,59,treatment,7,3,AICoach,42,job loss
42,20250325141722831939,1769.62618366421,58,treatment,9,2,CoachPlusInfluencer,43,job loss
43,20250326071236647954,1764.6337569900636,61,control,1,1,Control,44,job loss
44,20250325200333443454,1764.4117095574393,59,treatment,6,3,CoachPlusInfluencer,45,job loss
45,20250325205620736205,1761.8366476468034,58,treatment,1,3,AICoach,46,job loss
46,20250326052245718629,1761.599991790889,60,treatment,8,3,CoachPlusInfluencer,47,job loss
47,20250326151041683195,1758.8249809708334,59,treatment,3,2,CoachPlusInfluencer,48,job loss
48,20250329224441448363,1754.953242449212,58,treatment,1,3,CoachPlusInfluencer,49,job loss
49,20250326050035159946,1751.1260192801674,60,treatment,8,3,CoachPlusInfluencer,50,job loss
50,20250326032507314394,1750.1116663602045,59,treatment,8,2,AICoach,51,job loss
51,20250326063652733102,1743.1338127230622,58,treatment,4,2,CoachPlusInfluencer,52,job loss
52,20250325173032210570,1742.929805487959,57,control,7,1,CoachPlusInfluencer,53,job loss
53,20250326112106709678,1741.2977989167189,58,treatment,2,2,AICoach,54,job loss
54,20250325144632694116,1741.1504698341869,59,treatment,6,3,CoachPlusInfluencer,55,job loss
55,20250326133805271844,1738.3214342583356,59,control,1,1,Influencer,56,job loss
56,20250325135342101946,1737.2612638768228,59,treatment,7,2,CoachPlusInfluencer,57,job loss
57,20250326102330822132,1735.64591793106,61,control,1,1,CoachPlusInfluencer,58,job loss
58,20250326163732398506,1732.4857587380232,58,treatment,5,3,CoachPlusInfluencer,59,job loss
59,20250325145446915788,1732.0856002915743,57,treatment,6,3,CoachPlusInfluencer,60,job loss
60,20250326110609872668,1729.764411700174,57,treatment,8,3,CoachPlusInfluencer,61,job loss
61,20250403110020008492,1726.311156539313,58,treatment,5,2,AICoach,62,job loss
62,20250329214739426608,1725.2214804340583,57,treatment,2,2,AICoach,63,job loss
63,20250326141017373414,1722.7406635362952,59,treatment,5,2,AICoach,64,job loss
64,20250325191708704903,1722.656905110288,61,treatment,7,3,AICoach,65,job loss
65,20250325115531443933,1719.461102279676,57,treatment,2,2,CoachPlusInfluencer,66,job loss
66,20250325155101460757,1715.9685441009628,58,treatment,7,2,AICoach,67,job loss
67,20250329213952237631,1715.3226931578818,58,treatment,4,3,CoachPlusInfluencer,68,job loss
68,20250326135018873268,1715.1600604371763,59,treatment,9,2,CoachPlusInfluencer,69,job loss
69,20250325172545400543,1715.1255821677642,58,control,7,1,Control,70,job loss
70,20250326171621385135,1710.8455839689625,59,control,4,1,Control,71,job loss
71,20250326013914144407,1708.1900288074112,57,treatment,4,2,CoachPlusInfluencer,72,job loss
72,20250326084103615712,1704.368285404484,57,treatment,7,3,CoachPlusInfluencer,73,job loss
73,20250326033102832399,1704.2980485332023,58,control,4,1,Control,74,job loss
74,20250326000231687516,1703.2805232852195,59,treatment,3,2,CoachPlusInfluencer,75,job loss
75,20250326113440429213,1703.0065884184787,58,treatment,7,3,CoachPlusInfluencer,76,job loss
76,20250327073723154492,1701.4306230940645,58,control,-1,1,AICoach,77,job loss
77,20250326094413462674,1699.9637935605729,58,treatment,4,3,AICoach,78,job loss
78,20250326064652148874,1699.298665256664,59,treatment,3,3,AICoach,79,job loss
79,20250326134121805659,1698.3823904648957,59,control,0,1,CoachPlusInfluencer,80,job loss
80,20250325222129421242,1697.3557859662226,58,control,-1,1,Control,81,job loss
81,20250325235436141235,1697.3327442411155,60,treatment,4,2,AICoach,82,job loss
82,20250326004306576517,1695.1565071724172,57,treatment,3,2,AICoach,83,job loss
83,20250326155818270695,1694.6489888760336,58,treatment,4,3,AICoach,84,job loss
84,20250326152050240804,1691.784325177775,57,control,1,1,Control,85,job loss
85,20250325183415984193,1689.806897486324,60,treatment,4,3,CoachPlusInfluencer,86,job loss
86,20250326031812197984,1689.6600887767966,59,control,4,1,AICoach,87,job loss
87,20250325222607712561,1681.5997492652498,58,treatment,4,3,CoachPlusInfluencer,88,job loss
88,20250326135148178269,1681.2408656363684,59,control,4,1,CoachPlusInfluencer,89,job loss
89,20250326100621230862,1679.3108774404843,59,treatment,3,3,CoachPlusInfluencer,90,job loss
90,20250329215812126832,1675.915703134129,59,control,1,1,Control,91,job loss
91,20250326074609813331,1674.741422527891,59,control,1,1,Influencer,92,job loss
92,20250326105627726621,1668.2428776330603,58,treatment,9,3,AICoach,93,job loss
93,20250326085020629900,1667.2862084048388,59,treatment,7,2,AICoach,94,job loss
94,20250325183122017461,1666.4581840692256,59,treatment,4,3,CoachPlusInfluencer,95,job loss
95,20250326205702125333,1665.049428685702,57,control,0,1,Influencer,96,job loss
96,20250326111129424676,1662.374116614077,60,treatment,2,2,AICoach,97,job loss
97,20250326133526267894,1661.0259635541693,64,treatment,7,3,CoachPlusInfluencer,98,job loss
98,20250326231901213283,1658.961083013578,57,treatment,0,3,CoachPlusInfluencer,99,job loss
99,20250325133723616625,1658.945636010132,58,control,0,1,AICoach,100,job loss
100,20250325214518341947,1658.7094731893808,62,treatment,1,3,CoachPlusInfluencer,101,job loss
101,20250326072505893127,1656.5503002473108,58,treatment,4,3,CoachPlusInfluencer,102,job loss
102,20250325190308244624,1651.5600598939757,57,control,7,1,AICoach,103,job loss
103,20250326081619012967,1644.630209223351,60,treatment,6,3,AICoach,104,job loss
104,20250325154142584524,1643.2190681821787,58,treatment,1,3,CoachPlusInfluencer,105,job loss
105,20250325112936549335,1642.6098786023474,59,control,-1,1,Control,106,job loss
106,20250326121802130670,1637.7043147269408,57,treatment,1,2,AICoach,107,job loss
107,20250326015650173649,1637.530282202329,59,treatment,4,2,CoachPlusInfluencer,108,job loss
108,20250325155507350495,1634.7710070558164,57,treatment,7,3,AICoach,109,job loss
109,20250326004440551478,1633.7752298143791,60,treatment,1,2,AICoach,110,job loss
110,20250325180429024836,1633.081803503176,59,treatment,2,3,CoachPlusInfluencer,111,job loss
111,20250325203325210736,1632.5605093240706,59,control,0,1,AICoach,112,job loss
112,20250326085217368468,1631.0341269734677,59,treatment,3,3,AICoach,113,job loss
113,20250326105515222491,1630.36553521498,62,treatment,4,2,AICoach,114,job loss
114,20250325231051226631,1630.124926613099,62,treatment,5,3,CoachPlusInfluencer,115,job loss
115,20250331031055569190,1628.320312395936,60,treatment,-2,3,CoachPlusInfluencer,116,job loss
116,20250325112756727807,1624.7385156665518,61,control,-3,1,CoachPlusInfluencer,117,job loss
117,20250326201452887163,1624.415404124382,58,treatment,2,2,CoachPlusInfluencer,118,job loss
118,20250326004628211964,1620.8969347175098,58,treatment,2,2,CoachPlusInfluencer,119,job loss
119,20250325223552312593,1620.8549300523564,57,treatment,5,2,CoachPlusInfluencer,120,job loss
120,20250326161242648345,1612.7517757490289,58,treatment,1,2,AICoach,121,job loss
121,20250326104843806675,1611.971853195288,59,treatment,1,3,CoachPlusInfluencer,122,job loss
122,20250325161518383581,1608.8725832311768,58,treatment,5,3,AICoach,123,job loss
123,20250326041938423470,1607.4746902220418,57,treatment,0,3,CoachPlusInfluencer,124,job loss
124,20250325212058069113,1607.2658031874253,60,control,0,1,CoachPlusInfluencer,125,job loss
125,20250325124338295690,1603.901780494853,59,control,1,1,Influencer,126,job loss
126,20250325170111720794,1603.622404029695,58,treatment,4,3,AICoach,127,job loss
127,20250325232044474182,1601.3317034726513,57,control,2,1,AICoach,128,job loss
128,20250325163506927275,1600.597967585067,59,treatment,5,3,CoachPlusInfluencer,129,job loss
129,20250326015623160434,1599.9606081581214,58,treatment,4,2,AICoach,130,job loss
130,20250326200949661344,1599.7822922792027,59,treatment,4,2,CoachPlusInfluencer,131,job loss
131,20250326081901969615,1599.6377950571125,58,control,-1,1,Influencer,132,job loss
132,20250326112412486916,1597.7944786649616,60,control,1,1,Influencer,133,job loss
133,20250326095135650381,1595.6255993707473,60,control,3,1,CoachPlusInfluencer,134,job loss
134,20250325214308510701,1594.7561677659703,59,control,0,1,AICoach,135,job loss
135,20250326010148661451,1593.013177729382,56,control,1,1,AICoach,136,job loss
136,20250325114804295959,1592.363832893669,61,treatment,5,2,CoachPlusInfluencer,137,job loss
137,20250326122447722948,1592.3615739489064,56,treatment,-1,3,AICoach,138,job loss
138,20250326134537010582,1591.8384198943522,59,treatment,1,2,CoachPlusInfluencer,139,job loss
139,20250325121731831472,1591.0032508613876,58,control,-2,1,AICoach,140,job loss
140,20250325153422849418,1589.2332672624452,56,treatment,5,3,CoachPlusInfluencer,141,job loss
141,20250325185828382353,1588.821758146233,57,treatment,6,2,CoachPlusInfluencer,142,job loss
142,20250327025442594220,1588.4179592556875,57,treatment,2,2,AICoach,143,job loss
143,20250325173743022371,1587.3110993112837,60,treatment,2,3,CoachPlusInfluencer,144,job loss
144,20250325215428580664,1587.0730643586428,60,treatment,2,2,CoachPlusInfluencer,145,job loss
145,20250326003314570967,1583.7954771477157,62,treatment,-4,2,AICoach,146,job loss
146,20250325114454597229,1583.786127172382,60,treatment,5,2,AICoach,147,job loss
147,20250325213758871944,1582.8656196273248,59,control,-4,1,AICoach,148,job loss
148,20250326084529380649,1581.7182634098383,62,treatment,-3,3,CoachPlusInfluencer,149,job loss
149,20250326142532652922,1580.8916431707326,60,treatment,4,3,CoachPlusInfluencer,150,job loss
150,20250326090203346816,1580.8497966256546,56,treatment,6,3,AICoach,151,job loss
151,20250325122545796812,1580.7967389740145,59,treatment,0,3,CoachPlusInfluencer,152,job loss
152,20250326093302620867,1579.769071030337,61,control,1,1,Control,153,job loss
153,20250326103741871679,1578.44623491085,62,control,1,1,Influencer,154,job loss
154,20250330084852179805,1574.2090151828625,59,control,0,1,Influencer,155,job loss
155,20250326092737212137,1572.3723305425722,58,treatment,1,3,AICoach,156,job loss
156,20250325134001191829,1571.1581595254322,59,control,0,1,AICoach,157,job loss
157,20250326123036620608,1571.0088409328437,61,treatment,1,2,CoachPlusInfluencer,158,job loss
158,20250326093814220982,1569.75878049211,58,control,-1,1,Influencer,159,job loss
159,20250326134801452448,1565.9861849497486,59,treatment,2,3,AICoach,160,job loss
160,20250325113604578491,1561.9600023257651,57,treatment,0,2,AICoach,161,job loss
161,20250326070355911148,1557.2646745024797,59,treatment,4,3,CoachPlusInfluencer,162,job loss
162,20250329221633488219,1557.0501304505522,60,treatment,-3,3,AICoach,163,job loss
163,20250326090634542187,1556.954606748277,59,control,0,1,Influencer,164,job loss
164,20250325142828959492,1553.715677420043,61,control,-2,1,Control,165,job loss
165,20250325201717664479,1551.755827042267,60,treatment,0,2,CoachPlusInfluencer,166,job loss
166,20250326051156716441,1551.105150976672,57,control,2,1,CoachPlusInfluencer,167,job loss
167,20250326211213776205,1550.6581397588843,57,treatment,-4,3,CoachPlusInfluencer,168,job loss
168,20250326024626927214,1550.520662938818,59,control,-2,1,Influencer,169,job loss
169,20250325140212776217,1549.9359715270082,60,treatment,-5,2,AICoach,170,job loss
170,20250326060124339541,1548.961459980318,60,treatment,0,2,AICoach,171,job loss
171,20250326051036773971,1548.8960078508476,57,treatment,2,3,CoachPlusInfluencer,172,job loss
172,20250326013610368546,1547.7355989209816,61,control,0,1,CoachPlusInfluencer,173,job loss
173,20250329211754815797,1546.1024133800777,57,treatment,0,2,CoachPlusInfluencer,174,job loss
174,20250326204902280506,1542.7898390708854,57,treatment,4,3,AICoach,175,job loss
175,20250326035526915506,1541.749936382357,59,treatment,8,2,AICoach,176,job loss
176,20250326025126931520,1541.1524786032248,59,treatment,4,3,AICoach,177,job loss
177,20250325191050040815,1540.6529036467998,58,control,-1,1,Influencer,178,job loss
178,20250326105721641497,1537.7893644362264,61,control,-5,1,CoachPlusInfluencer,179,job loss
179,20250326123411872671,1533.1167162322135,58,control,1,1,Influencer,180,job loss
180,20250326014631937523,1531.5038265543292,58,control,-2,1,CoachPlusInfluencer,181,job loss
181,20250325160640245984,1530.9935867598,60,control,-2,1,Control,182,job loss
182,20250326051017134337,1529.435312471277,58,control,-3,1,CoachPlusInfluencer,183,job loss
183,20250325110147756633,1526.4794636948886,62,control,-5,1,AICoach,184,job loss
184,20250325170145583521,1526.4654695978634,57,treatment,4,3,AICoach,185,job loss
185,20250325153637630662,1525.7510130992932,57,control,1,1,Control,186,job loss
186,20250325191231592997,1524.1614423270653,59,treatment,-1,2,CoachPlusInfluencer,187,job loss
187,20250329222315402988,1522.5554919381136,58,control,1,1,CoachPlusInfluencer,188,job loss
188,20250325122634976974,1520.4894738679789,61,control,-5,1,Control,189,job loss
189,20250331142712736257,1519.58739838465,59,treatment,1,2,CoachPlusInfluencer,190,job loss
190,20250325132223019972,1519.4893344592267,58,control,-1,1,Influencer,191,job loss
191,20250326134911486953,1519.3464957942524,61,control,-1,1,Influencer,192,job loss
192,20250326234246017652,1518.917956985589,59,treatment,-1,3,AICoach,193,job loss
193,20250326034120370692,1518.1571160227147,60,treatment,-1,3,CoachPlusInfluencer,194,job loss
194,20250329224648056809,1516.5526369210522,59,control,-1,1,AICoach,195,job loss
195,20250326131014356620,1515.6568381083357,60,treatment,-1,3,AICoach,196,job loss
196,20250326063334375848,1515.1069609631547,59,control,-2,1,Control,197,job loss
197,20250331122105608579,1514.109128160913,59,control,-3,1,Control,198,job loss
198,20250326023458799828,1512.1272699067856,60,treatment,2,3,AICoach,199,job loss
199,20250326122047169897,1510.0971522705256,59,treatment,2,3,AICoach,200,job loss
200,20250325221032526965,1510.0846267902216,61,treatment,2,3,AICoach,201,job loss
201,20250325122416687329,1509.3775194343052,59,treatment,0,2,AICoach,202,job loss
202,20250331110445260966,1509.3129605927463,58,treatment,-1,3,CoachPlusInfluencer,203,job loss
203,20250328134719812664,1508.9101006707524,61,treatment,-2,2,AICoach,204,job loss
204,20250326171753492389,1508.406000545865,60,control,2,1,Influencer,205,job loss
205,20250329210450302385,1505.1525272916283,59,control,-4,1,Control,206,job loss
206,20250326111819224421,1503.5083167530718,58,treatment,0,2,CoachPlusInfluencer,207,job loss
207,20250326171307071528,1500.4301047661647,58,treatment,2,2,CoachPlusInfluencer,208,job loss
208,20250325171816755879,1500.1540598959373,60,treatment,3,3,AICoach,209,job loss
209,20250329221021257609,1499.5728381961817,57,treatment,0,3,AICoach,210,job loss
210,20250325215956947862,1493.169273252249,58,control,-1,1,AICoach,211,job loss
211,20250329210237486223,1489.8641581753127,59,control,-1,1,CoachPlusInfluencer,212,job loss
212,20250326152710638653,1489.7727774724965,60,control,-3,1,CoachPlusInfluencer,213,job loss
213,20250325235241431964,1489.4548653174113,60,treatment,2,2,CoachPlusInfluencer,214,job loss
214,20250326085009338115,1489.0334514948408,60,treatment,3,2,CoachPlusInfluencer,215,job loss
215,20250326125404854360,1487.3967671913306,59,treatment,3,2,CoachPlusInfluencer,216,job loss
216,20250325195602851310,1485.0812694860472,61,control,-5,1,Control,217,job loss
217,20250326004255158125,1483.525082353759,59,control,-4,1,Control,218,job loss
218,20250325152327545512,1482.5831380245131,58,treatment,0,2,CoachPlusInfluencer,219,job loss
219,20250326110959085128,1478.0074722827512,61,treatment,-2,2,AICoach,220,job loss
220,20250325215830116141,1477.2129177255897,58,control,-2,1,CoachPlusInfluencer,221,job loss
221,20250325140720249275,1476.950404071089,57,treatment,0,2,AICoach,222,job loss
222,20250325174946260486,1474.1941400716064,58,control,-1,1,Influencer,223,job loss
223,20250325171516496684,1472.0664498192532,61,treatment,2,3,AICoach,224,job loss
224,20250326143516907407,1471.925641427927,57,control,-1,1,CoachPlusInfluencer,225,job loss
225,20250326041627630774,1471.6482870090902,57,control,-2,1,Control,226,job loss
226,20250326041948020276,1468.7839180190815,62,treatment,1,3,CoachPlusInfluencer,227,job loss
227,20250325113339335369,1466.4040895233315,62,control,-3,1,AICoach,228,job loss
228,20250329214141601215,1465.5119818049045,59,treatment,-1,3,CoachPlusInfluencer,229,job loss
229,20250326081315527404,1465.3767274546467,57,control,-2,1,AICoach,230,job loss
230,20250325144058486431,1464.9681395969692,58,control,1,1,AICoach,231,job loss
231,20250325231521220567,1461.5794858407255,60,control,0,1,AICoach,232,job loss
232,20250326084941774118,1461.3953498850465,60,treatment,3,2,CoachPlusInfluencer,233,job loss
233,20250325130431001780,1458.4552899142557,59,control,-3,1,AICoach,234,job loss
234,20250326040722381608,1451.635074320864,58,control,-1,1,AICoach,235,job loss
235,20250326160049615860,1449.3958109554603,58,treatment,2,3,AICoach,236,job loss
236,20250326054418636115,1447.8197064877102,57,treatment,1,2,CoachPlusInfluencer,237,job loss
237,20250325122124203835,1445.9581837664116,59,control,2,1,Influencer,238,job loss
238,20250326170918155537,1437.7541028165865,59,control,-4,1,CoachPlusInfluencer,239,job loss
239,20250325141556480850,1434.5353862844904,58,control,-1,1,Control,240,job loss
240,20250325212233853482,1433.6326663795337,58,control,0,1,AICoach,241,job loss
241,20250326040539102892,1430.6370634498433,61,treatment,4,3,AICoach,242,job loss
242,20250326001042478101,1430.0282561167196,61,control,-2,1,Influencer,243,job loss
243,20250326014609033464,1429.2704873191112,59,control,-2,1,Influencer,244,job loss
244,20250326083949804720,1427.2536773741442,63,treatment,-1,3,CoachPlusInfluencer,245,job loss
245,20250325124132981343,1425.8045173736962,60,treatment,-2,2,CoachPlusInfluencer,246,job loss
246,20250325113138587685,1425.43702873159,58,treatment,-3,3,CoachPlusInfluencer,247,job loss
247,20250326113947575755,1422.8821831016032,60,control,-4,1,AICoach,248,job loss
248,20250326235042748446,1422.4397039622932,57,treatment,-2,3,CoachPlusInfluencer,249,job loss
249,20250326094843405689,1422.0803555644502,59,control,-1,1,Influencer,250,job loss
250,20250325172317902561,1420.762421736309,58,control,-3,1,CoachPlusInfluencer,251,job loss
251,20250326013236795228,1420.1470093806868,59,control,-1,1,AICoach,252,job loss
252,20250326081923568501,1419.5969281834912,59,control,-3,1,Control,253,job loss
253,20250326232203775419,1419.4472629917336,58,control,-3,1,Control,254,job loss
254,20250326153649208561,1419.160792626467,59,control,-2,1,AICoach,255,job loss
255,20250326145546659552,1414.0452299428368,58,treatment,3,2,AICoach,256,job loss
256,20250326054217277579,1413.6754480475963,63,treatment,-4,2,CoachPlusInfluencer,257,job loss
257,20250329221806983488,1413.2093732463677,57,control,-3,1,AICoach,258,job loss
258,20250326150503331622,1412.768343688365,58,treatment,0,3,AICoach,259,job loss
259,20250326055858557891,1410.503626606921,59,control,-2,1,CoachPlusInfluencer,260,job loss
260,20250326171716895130,1409.848996424263,59,control,2,1,Control,261,job loss
261,20250326082805398686,1408.5311481165957,59,control,-1,1,Influencer,262,job loss
262,20250326133736062327,1404.6687560673067,60,treatment,-4,3,CoachPlusInfluencer,263,job loss
263,20250325231045003532,1404.572491268136,56,treatment,-3,2,AICoach,264,job loss
264,20250326065115801473,1404.495358003008,58,treatment,0,3,AICoach,265,job loss
265,20250325125609950419,1403.492097234839,59,control,-4,1,AICoach,266,job loss
266,20250326005916420117,1402.9395979338285,57,control,-8,1,AICoach,267,job loss
267,20250326093213833538,1402.0045197936636,58,control,-3,1,Control,268,job loss
268,20250326113514070146,1401.2362579737126,61,treatment,-2,3,AICoach,269,job loss
269,20250326000615349132,1400.8877873756317,59,control,-2,1,AICoach,270,job loss
270,20250325160520594141,1400.811692998738,58,treatment,-3,3,AICoach,271,job loss
271,20250326060600406388,1399.917112282997,57,treatment,-3,3,CoachPlusInfluencer,272,job loss
272,20250325162752580266,1397.145234442973,58,control,-5,1,CoachPlusInfluencer,273,job loss
273,20250325151424139463,1397.0873849455306,60,control,-2,1,AICoach,274,job loss
274,20250326013024431637,1395.968637743406,60,control,-3,1,Influencer,275,job loss
275,20250326032024378207,1391.2376105574658,59,control,-5,1,Influencer,276,job loss
276,20250326020939188792,1390.0373181965056,58,treatment,0,2,CoachPlusInfluencer,277,job loss
277,20250325185653815678,1389.2421166129816,57,control,-1,1,Influencer,278,job loss
278,20250326223114071968,1389.1839852780822,58,control,-5,1,CoachPlusInfluencer,279,job loss
279,20250325221358964123,1388.2406870734417,61,control,-5,1,Control,280,job loss
280,20250326075617040183,1383.216827971173,59,control,-6,1,AICoach,281,job loss
281,20250326015028588459,1380.7550859563285,59,treatment,-1,3,CoachPlusInfluencer,282,job loss
282,20250326053026807289,1380.5319168035196,62,treatment,-2,2,AICoach,283,job loss
283,20250325131259907955,1379.5837770787018,57,treatment,-2,2,CoachPlusInfluencer,284,job loss
284,20250329225424698237,1377.5040892578763,59,control,-3,1,AICoach,285,job loss
285,20250325182121591560,1374.9062588828028,58,treatment,-1,2,CoachPlusInfluencer,286,job loss
286,20250325135002715330,1370.7057013669053,61,control,-4,1,Influencer,287,job loss
287,20250325194142502846,1370.31644497804,60,control,-1,1,AICoach,288,job loss
288,20250326100831872277,1368.4653660359438,60,treatment,-3,2,AICoach,289,job loss
289,20250329211445198166,1367.910927501422,58,control,-3,1,CoachPlusInfluencer,290,job loss
290,20250325183135443197,1367.86375653199,58,control,0,1,Influencer,291,job loss
291,20250326110648747992,1366.4907565467586,58,control,-5,1,Influencer,292,job loss
292,20250326131215299249,1362.1595776837928,58,treatment,-1,3,CoachPlusInfluencer,293,job loss
293,20250325193611574414,1361.1824209870124,58,control,-4,1,CoachPlusInfluencer,294,job loss
294,20250325194650202469,1358.7337549108568,59,control,-4,1,Control,295,job loss
295,20250325132126882723,1358.6757812958897,59,treatment,-3,2,AICoach,296,job loss
296,20250326005130736885,1358.0969642374157,62,control,-2,1,AICoach,297,job loss
297,20250326001311333124,1357.595074642695,60,treatment,-2,3,CoachPlusInfluencer,298,job loss
298,20250325185707716609,1357.0649471302845,59,treatment,-1,3,AICoach,299,job loss
299,20250326104324298456,1354.7116379470365,57,treatment,-8,2,CoachPlusInfluencer,300,job loss
300,20250325181934457497,1347.8343009740938,57,treatment,-3,2,AICoach,301,job loss
301,20250325175805009219,1346.220512430828,61,treatment,-2,2,CoachPlusInfluencer,302,job loss
302,20250326115823551809,1341.55351461658,58,control,-6,1,AICoach,303,job loss
303,20250326001811754282,1339.3087093659783,58,control,-4,1,CoachPlusInfluencer,304,job loss
304,20250325211916137179,1338.531903093095,59,control,-3,1,Control,305,job loss
305,20250326072233987179,1337.2212072028085,57,control,0,1,AICoach,306,job loss
306,20250326165705757206,1337.033043915625,59,treatment,-3,2,CoachPlusInfluencer,307,job loss
307,20250326160431973892,1333.7213501758467,61,control,-5,1,Influencer,308,job loss
308,20250325145301323925,1331.9064075609576,58,treatment,-4,2,AICoach,309,job loss
309,20250326034519479591,1330.2551332195485,60,control,-2,1,Control,310,job loss
310,20250325152616007976,1329.0439470333856,61,control,-4,1,Control,311,job loss
311,20250326171624176745,1328.8756074318858,59,control,-6,1,Control,312,job loss
312,20250325172601755841,1327.3818615291366,59,control,-4,1,Influencer,313,job loss
313,20250326060711581152,1327.012746494433,58,control,-4,1,Influencer,314,job loss
314,20250326091335738700,1325.3109385264363,59,control,-3,1,Control,315,job loss
315,20250326144708191291,1324.9916969282651,59,control,-6,1,Influencer,316,job loss
316,20250325163716064195,1324.8110808972706,61,treatment,-5,3,AICoach,317,job loss
317,20250326142139896416,1320.294011913238,62,control,-2,1,AICoach,318,job loss
318,20250326120602558480,1318.174774439665,61,control,-4,1,AICoach,319,job loss
319,20250326085400016843,1317.563080007276,59,control,-6,1,Control,320,job loss
320,20250326112753089550,1317.1551892244456,60,control,1,1,Control,321,job loss
321,20250325164641860371,1317.0286238840154,61,control,-5,1,Influencer,322,job loss
322,20250325192925085405,1316.6401859989992,57,control,-5,1,Influencer,323,job loss
323,20250325142700060667,1316.5458470379488,59,control,-1,1,Control,324,job loss
324,20250326140842820992,1314.8091780402233,59,control,-4,1,Control,325,job loss
325,20250329221802886253,1314.4922092065165,59,control,-6,1,AICoach,326,job loss
326,20250325191254435510,1312.7854697735868,59,treatment,-5,3,CoachPlusInfluencer,327,job loss
327,20250325183805484179,1307.554118888503,58,treatment,-4,2,AICoach,328,job loss
328,20250325144646266693,1302.9217680700426,59,control,-3,1,AICoach,329,job loss
329,20250326122127934775,1301.8031527115045,62,treatment,1,2,AICoach,330,job loss
330,20250326154239853484,1301.570186450646,59,control,-4,1,Control,331,job loss
331,20250325160119787319,1299.838716720724,62,control,-1,1,AICoach,332,job loss
332,20250325123924843642,1297.31468064917,61,control,-3,1,AICoach,333,job loss
